,year,US patent grants (% total patent docs),unique reactions grants (% total unique rxns),US patent applications (% total patent docs),unique reactions applications (% total unique rxns)
0,1976,0.732392138253,0.521998249285,0.0,0.0
1,1977,0.733973978724,0.364659892714,0.0,0.0
2,1978,0.752165144145,0.340754893788,0.0,0.0
3,1979,0.591608336299,0.264432751761,0.0,0.0
4,1980,0.692055206232,0.357358002133,0.0,0.0
5,1981,0.707873610946,0.373265692328,0.0,0.0
6,1982,0.581326373235,0.292075623247,0.0,0.0
7,1983,0.511725392494,0.30215918643,0.0,0.0
8,1984,0.646972752798,0.372917983253,0.0,0.0
9,1985,0.714991893068,0.457845924893,0.0,0.0
10,1986,0.748210542967,0.416816254008,0.0,0.0
11,1987,0.815438763001,0.547902575394,0.0,0.0
12,1988,0.74583778226,0.500005650272,0.0,0.0
13,1989,1.03215090758,0.674034042457,0.0,0.0
14,1990,0.960177166133,0.671426224392,0.0,0.0
15,1991,1.036896429,0.728015876396,0.0,0.0
16,1992,1.00446869933,0.701242277599,0.0,0.0
17,1993,1.13971605964,0.75435483885,0.0,0.0
18,1994,0.924585755527,0.678293478629,0.0,0.0
19,1995,1.06536955748,0.672730133425,0.0,0.0
20,1996,1.20061691778,0.938206012411,0.0,0.0
21,1997,1.58342231186,1.09971687789,0.0,0.0
22,1998,1.50591212876,1.17951611067,0.0,0.0
23,1999,1.44263850991,1.20342110959,0.0,0.0
24,2000,1.4980029264,1.33007414027,0.0,0.0
25,2001,1.61110452011,1.80504473712,0.371732510776,0.0410296708847
26,2002,1.74477003994,1.83877251742,1.68149642109,0.235920607587
27,2003,1.6087317594,1.85746188022,2.64721002887,0.507133686316
28,2004,1.3295369162,1.49932153267,3.31949222921,0.89917566871
29,2005,1.29552734607,1.71568350477,3.36615652311,1.24775401669
30,2006,1.77245224819,2.74107756781,3.30051014355,1.50175549619
31,2007,1.77007948748,2.92101701427,3.38039308736,1.78192208361
32,2008,1.80487997785,2.99299279286,3.59394155099,2.13623763134
33,2009,2.04452880927,3.80602353817,3.95143749753,2.77367529362
34,2010,2.4020247558,5.01709424741,4.312097125,2.71691178708
35,2011,2.40677027722,5.34594010537,3.60896903547,1.76949148417
36,2012,2.80064855459,6.15001734199,3.32581959109,2.20647486455
37,2013,3.09961640369,6.71556615296,3.20876339621,2.26619389823
38,2014,3.03159726342,6.94844430613,3.0600703919,3.21474425563
39,2015,2.35298770119,5.23397778313,2.42812512358,4.36992073102
