,year,Median num reactions per patent,Mean num reactions per patent
0,1976,3.0,7.2964763062
1,1977,3.0,5.73087431694
2,1978,2.0,5.45201668985
3,1979,3.0,5.75047258979
4,1980,3.0,6.08136094675
5,1981,3.0,6.09078014184
6,1982,3.0,6.07594936709
7,1983,3.0,6.71042471042
8,1984,3.0,6.49016641452
9,1985,3.0,6.79612903226
10,1986,3.0,6.20310478655
11,1987,3.0,7.26152073733
12,1988,3.0,7.41237113402
13,1989,4.0,7.16635859519
14,1990,3.0,7.73173173173
15,1991,3.0,7.97619047619
16,1992,3.0,7.74184261036
17,1993,3.0,7.8676337262
18,1994,3.0,8.20504731861
19,1995,3.0,7.42706333973
20,1996,3.0,9.11570945946
21,1997,3.0,8.45090180361
22,1998,3.0,9.61658398299
23,1999,3.0,10.416854778
24,2000,4.0,11.0556358382
25,2001,4.0,12.8060897436
26,2002,4.0,12.1459952687
27,2003,4.0,12.0839902971
28,2004,4.0,15.5919306797
29,2005,4.0,15.1381751442
30,2006,4.0,16.5741919063
31,2007,4.0,17.7260869565
32,2008,5.0,18.6330842566
33,2009,5.0,21.4238170704
34,2010,5.0,22.028241335
35,2011,5.0,20.8158374577
36,2012,4.0,22.4045428407
37,2013,4.0,20.3551210972
38,2014,4.0,19.0417910448
39,2015,4.0,21.755952381
