,year,N-Boc protection,O-TBS protection,O-Ac protection,N-TFA protection,CO2H-tBu protection,O-MOM protection,O-Bn protection,Ketone dioxolane protection,N-Phth protection
0,1976.0,5.40540540541,0.0,59.4594594595,8.10810810811,0.0,2.7027027027,8.10810810811,10.8108108108,2.7027027027
1,1977.0,6.0,0.0,60.0,4.0,0.0,2.0,8.0,6.0,0.0
2,1978.0,7.69230769231,0.0,33.3333333333,5.12820512821,2.5641025641,2.5641025641,7.69230769231,12.8205128205,2.5641025641
3,1979.0,7.14285714286,0.0,35.7142857143,3.57142857143,3.57142857143,0.0,10.7142857143,7.14285714286,25.0
4,1980.0,11.1111111111,0.0,38.8888888889,13.8888888889,2.77777777778,0.0,5.55555555556,16.6666666667,2.77777777778
5,1981.0,10.843373494,0.0,31.3253012048,15.6626506024,1.20481927711,0.0,0.0,14.4578313253,3.61445783133
6,1982.0,17.3913043478,2.17391304348,28.2608695652,8.69565217391,2.17391304348,2.17391304348,4.34782608696,26.0869565217,2.17391304348
7,1983.0,10.0,5.0,50.0,7.5,2.5,0.0,5.0,7.5,5.0
8,1984.0,12.2807017544,0.0,42.1052631579,5.26315789474,7.01754385965,0.0,8.77192982456,3.50877192982,5.26315789474
9,1985.0,8.33333333333,0.0,44.4444444444,11.1111111111,0.0,5.55555555556,8.33333333333,2.77777777778,11.1111111111
10,1986.0,11.1111111111,4.7619047619,60.3174603175,0.0,1.5873015873,3.1746031746,3.1746031746,6.34920634921,6.34920634921
11,1987.0,14.2857142857,3.1746031746,47.619047619,1.5873015873,3.1746031746,4.7619047619,3.1746031746,3.1746031746,4.7619047619
12,1988.0,19.5652173913,8.69565217391,34.7826086957,10.8695652174,17.3913043478,0.0,2.17391304348,2.17391304348,2.17391304348
13,1989.0,25.5555555556,1.11111111111,38.8888888889,11.1111111111,2.22222222222,0.0,3.33333333333,6.66666666667,2.22222222222
14,1990.0,27.5862068966,4.59770114943,39.0804597701,4.59770114943,1.14942528736,4.59770114943,2.29885057471,5.74712643678,3.44827586207
15,1991.0,31.1926605505,4.5871559633,34.8623853211,2.75229357798,3.66972477064,0.917431192661,5.50458715596,1.83486238532,2.75229357798
16,1992.0,21.6,9.6,33.6,4.0,0.8,12.0,4.8,4.8,0.8
17,1993.0,32.5925925926,8.88888888889,23.7037037037,8.88888888889,1.48148148148,2.96296296296,9.62962962963,2.22222222222,0.740740740741
18,1994.0,36.0902255639,6.01503759398,24.0601503759,6.01503759398,4.51127819549,3.00751879699,3.75939849624,1.5037593985,5.26315789474
19,1995.0,40.7142857143,6.42857142857,15.7142857143,10.0,5.0,3.57142857143,2.85714285714,3.57142857143,3.57142857143
20,1996.0,37.4301675978,8.37988826816,17.3184357542,11.7318435754,0.558659217877,4.46927374302,6.70391061453,3.35195530726,1.67597765363
21,1997.0,36.4016736402,18.410041841,17.9916317992,4.18410041841,2.51046025105,2.09205020921,2.92887029289,1.25523012552,7.94979079498
22,1998.0,45.6692913386,5.90551181102,11.811023622,10.2362204724,1.1811023622,5.51181102362,6.29921259843,1.96850393701,4.72440944882
23,1999.0,46.0317460317,7.53968253968,15.0793650794,8.73015873016,1.98412698413,2.38095238095,4.36507936508,3.1746031746,1.98412698413
24,2000.0,41.3043478261,9.13043478261,13.4782608696,5.21739130435,12.6086956522,1.73913043478,3.47826086957,3.04347826087,3.47826086957
25,2001.0,41.3793103448,12.2257053292,12.539184953,8.77742946708,5.32915360502,2.19435736677,3.76175548589,3.44827586207,2.19435736677
26,2002.0,53.9594843462,9.39226519337,7.73480662983,6.62983425414,3.49907918969,2.394106814,3.6832412523,1.65745856354,2.94659300184
27,2003.0,55.0847457627,10.0,9.32203389831,6.27118644068,3.5593220339,3.38983050847,2.37288135593,1.18644067797,1.35593220339
28,2004.0,50.0662251656,11.9205298013,8.7417218543,6.49006622517,2.64900662252,6.09271523179,1.45695364238,2.51655629139,2.51655629139
29,2005.0,49.1480996068,12.3197903014,11.0091743119,7.73263433814,3.93184796855,3.27653997379,2.49017038008,1.70380078637,2.35910878113
30,2006.0,45.2527743527,12.5770653514,8.87792848335,8.01479654747,4.06905055487,5.9186189889,3.08261405672,2.09617755857,3.69913686806
31,2007.0,49.8253783469,12.2235157159,4.77299185099,7.10128055879,2.44470314319,3.72526193248,1.74621653085,3.37601862631,2.91036088475
32,2008.0,46.2401795735,13.8047138047,8.75420875421,9.65207631874,4.7138047138,3.47923681257,2.13243546577,1.57126823793,1.12233445567
33,2009.0,47.9233226837,15.4153354633,8.78594249201,6.70926517572,3.59424920128,3.91373801917,1.99680511182,1.7571884984,1.27795527157
34,2010.0,54.2159180457,14.342001576,6.85579196217,6.61938534279,2.99448384555,3.78250591017,1.41843971631,2.91568163909,1.41843971631
35,2011.0,46.6076696165,14.1592920354,7.47295968535,7.27630285152,5.01474926254,3.73647984267,2.45821042281,3.1465093412,1.5732546706
36,2012.0,51.8918918919,13.2972972973,5.08108108108,4.97297297297,6.7027027027,3.56756756757,2.91891891892,2.7027027027,1.94594594595
37,2013.0,55.1240560949,17.4757281553,5.39374325782,3.66774541532,3.88349514563,2.91262135922,1.94174757282,1.83387270766,1.40237324703
38,2014.0,53.5128805621,14.8711943794,5.9718969555,4.09836065574,4.44964871194,3.39578454333,2.34192037471,1.87353629977,2.45901639344
39,2015.0,50.9202453988,17.4233128834,4.1717791411,6.25766871166,3.06748466258,2.20858895706,2.45398773006,2.82208588957,1.96319018405
