,year,systematically named RXN,named RXN,unassigned RXN
0,1976,42.0982514571,11.1407160699,46.7610324729
1,1977,40.6912991657,11.3706793802,47.9380214541
2,1978,41.4285714286,12.6275510204,45.943877551
3,1979,43.4911242604,12.4917817226,44.0170940171
4,1980,41.7416686937,11.0921916809,47.1661396254
5,1981,45.062878435,10.0838379134,44.8532836516
6,1982,42.4404761905,11.5178571429,46.0416666667
7,1983,44.4476409666,10.6156501726,44.9367088608
8,1984,44.5920745921,11.0722610723,44.3356643357
9,1985,46.0034175052,13.0055059806,40.9910765141
10,1986,43.4827945777,10.802919708,45.7142857143
11,1987,43.5030937649,11.0582262415,45.4386799937
12,1988,45.4102920723,12.7955493741,41.7941585535
13,1989,43.3969564096,13.3221563064,43.280887284
14,1990,44.6659761781,15.5100983946,39.8239254272
15,1991,44.5492537313,13.4925373134,41.9582089552
16,1992,41.4528325276,13.1275567125,45.4196107599
17,1993,43.016824153,14.6001382807,42.3830375663
18,1994,45.0852236319,14.4687940536,40.4459823145
19,1995,42.7186975061,13.218762114,44.0625403799
20,1996,46.6506068748,13.1288798295,40.2205132957
21,1997,43.7435775828,13.2953916686,42.9610307486
22,1998,45.3533790257,14.7321099565,39.9145110178
23,1999,47.1251083502,15.1979196764,37.6769719734
24,2000,48.0948957584,13.8226259722,38.0824782694
25,2001,46.8944228924,14.0991949276,39.00638218
26,2002,48.0745687257,14.28491931,37.6405119644
27,2003,46.8822924247,15.0001254611,38.1175821143
28,2004,48.9015473854,14.0185130512,37.0799395634
29,2005,48.1545629319,14.088019814,37.7574172541
30,2006,48.339987715,15.1044226044,36.5555896806
31,2007,50.625459897,15.5751778268,33.7993622762
32,2008,52.1288805919,14.660858743,33.2102606651
33,2009,50.4232317788,15.6315717169,33.9451965042
34,2010,52.3047785548,14.3463480963,33.3488733489
35,2011,51.5116628291,14.9514465913,33.5368905796
36,2012,50.8720146812,15.6962642609,33.431721058
37,2013,51.4285304701,15.9238499362,32.6476195937
38,2014,50.2069289857,16.1420285311,33.6510424831
39,2015,50.523255814,15.9268125855,33.5499316005
