,year,Heteroatom alkylation and arylation,Acylation and related processes,Deprotections,C-C bond formation,Reductions,Functional group interconversion (FGI),Functional group addition (FGA),Oxidations,Protections,Resolution,Heterocycle formation
0,2000.0,69.1,70.0,81.0,71.0,81.0,76.55,72.7,79.0,82.5,84.0,54.0
1,2001.0,70.0,71.0,84.0,65.9,80.0,76.0,71.0,72.0,84.0,83.0,69.0
2,2002.0,68.0,69.0,83.0,67.0,80.0,75.0,72.0,76.0,86.0,80.0,56.5
3,2003.0,67.0,70.0,84.0,62.0,83.0,75.0,70.0,79.0,88.0,81.5,66.0
4,2004.0,67.0,69.4,85.0,62.0,82.0,78.885,69.2,77.0,85.0,80.0,65.0
5,2005.0,66.0,68.0,83.0,68.0,82.0,73.0,67.5,76.0,84.0,82.5,61.0
6,2006.0,64.0,65.3,83.0,66.0,81.0,75.0,72.0,78.0,82.0,82.0,70.0
7,2007.0,63.0,68.0,84.0,65.0,81.0,73.0,72.0,78.0,82.0,83.5,56.5
8,2008.0,64.0,63.0,84.0,60.0,81.0,73.0,72.0,74.0,81.5,83.0,59.0
9,2009.0,63.0,63.0,83.0,62.0,81.0,74.0,70.4,78.0,83.0,79.0,60.0
10,2010.0,63.0,64.0,83.0,61.0,82.6,74.0,69.55,77.0,80.0,82.7,55.0
11,2011.0,63.0,62.0,80.0,60.0,81.0,71.0,70.0,77.0,83.0,79.5,70.5
12,2012.0,63.0,62.0,81.0,60.0,83.0,72.1,70.0,77.0,79.0,78.0,61.0
13,2013.0,61.0,64.0,78.0,56.0,81.0,74.0,69.0,78.0,81.0,83.25,61.0
14,2014.0,62.0,61.0,80.0,59.0,80.0,75.0,69.0,76.0,82.0,87.0,63.0
15,2015.0,64.0,62.55,82.0,60.0,80.0,67.0,66.0,75.0,82.0,80.25,57.0
